YrTm,Payroll_rosterct,Payroll_25man,Payroll_DL,Payroll_retained,Payroll_buried,Payroll_suspended,Payroll_TOTAL,DLpctofTotalPayroll
2015TBD,35,"$52,092,948 ","$8,440,963 ","$17,647,797 ","$3,337,500 ",-,"$78,724,752 ",11%
2013CLE,34,"$68,279,465 ","$8,602,603 ","$19,097,668 ","$2,668,600 ",-,"$98,192,497 ",9%
2015OAK,34,"$41,897,450 ","$8,772,896 ","$33,518,089 ","$2,537,500 ",-,"$84,426,830 ",10%
2013TEX,39,"$114,162,497 ","$10,465,901 ","$18,854,400 ","$2,461,100 ",-,"$143,687,546 ",7%
2015KCR,36,"$111,740,891 ","$10,483,450 ","$9,608,682 ","$2,538,200 ",-,"$132,090,935 ",8%
2016NYY,36,"$159,213,515 ","$10,509,409 ","$56,860,466 ","$1,522,500 ",-,"$227,365,376 ",5%
2015HOU,33,"$64,818,398 ","$11,040,900 ","$19,150,680 ","$5,545,000 ",-,"$97,450,835 ",11%
2016CLE,37,"$61,284,062 ","$11,875,000 ","$39,501,665 ","$2,015,000 ","$1,000,000 ","$114,707,868 ",10%
2016CHW,35,"$88,724,466 ","$12,024,268 ","$40,459,452 ",-,-,"$141,208,186 ",9%
2015TEX,38,"$124,525,876 ","$13,135,760 ","$26,268,970 ","$2,560,000 ",-,"$164,345,607 ",8%
2013NYY,39,"$207,768,301 ","$14,900,000 ","$18,874,850 ","$3,008,675 ",-,"$243,518,340 ",6%
2017LAA,35,"$109,185,825 ","$16,095,730 ","$50,424,286 ","$3,210,000 ",-,"$176,337,209 ",9%
2014DET,35,"$147,009,969 ","$17,310,000 ","$10,744,647 ","$1,504,000 ",-,"$175,485,620 ",10%
2017DET,36,"$91,135,320 ","$18,000,000 ","$87,712,216 ","$4,226,400 ",-,"$198,716,174 ",9%
2015LAA,39,"$106,512,083 ","$19,015,000 ","$27,362,322 ","$4,241,500 ",-,"$154,666,762 ",12%
2016BOS,35,"$165,121,274 ","$19,567,513 ","$9,852,448 ","$23,874,428 ",-,"$215,416,336 ",9%
2016OAK,34,"$27,854,151 ","$19,754,414 ","$52,133,897 ","$507,500 ",-,"$99,914,388 ",20%
2016KCR,35,"$106,349,212 ","$20,825,000 ","$17,843,664 ","$1,016,000 ",-,"$145,220,358 ",14%
2016TEX,37,"$134,724,626 ","$21,458,018 ","$12,152,224 ","$2,033,000 ",-,"$168,520,990 ",13%
2017TOR,35,"$125,422,069 ","$22,811,106 ","$51,227,802 ","$8,395,700 ",-,"$199,430,487 ",11%
2017MIN,34,"$75,616,449 ","$22,830,000 ","$34,102,609 ","$6,225,000 ",-,"$135,654,177 ",17%
2017SEA,35,"$126,620,983 ","$23,249,738 ","$20,095,977 ","$7,066,500 ",-,"$171,355,830 ",14%
2016MIN,31,"$61,165,450 ","$24,241,532 ","$17,966,694 ","$3,782,000 ",-,"$106,235,357 ",23%
2015NYY,40,"$187,271,441 ","$24,415,379 ","$15,989,561 ","$2,542,500 ","$507,500 ","$228,578,373 ",11%
2015DET,37,"$109,879,336 ","$27,072,978 ","$30,733,707 ",-,-,"$167,686,021 ",16%
2016DET,34,"$163,019,728 ","$28,189,200 ","$14,389,864 ","$2,555,000 ",-,"$205,894,085 ",14%
2016LAA,33,"$89,878,997 ","$39,667,205 ","$48,706,790 ","$6,071,500 ",-,"$180,743,007 ",22%
2015BOS,35,"$95,030,446 ","$42,985,571 ","$81,286,077 ","$1,522,500 ",-,"$219,324,278 ",20%
