YrTm,rank,mgr_mdsn_change,mgr_new,mgr_yrs,mgr_3+seasons
2003KCR,3,0,0,2,0
2004KCR,5,0,0,3,1
2005KCR,5,1,1,1,0
2006KCR,5,0,0,2,0
2007KCR,5,0,0,3,1
2008KCR,4,0,1,1,0
2009KCR,4,0,0,2,0
2010KCR,5,1,1,1,0
2011KCR,4,0,0,2,0
2012KCR,,0,0,3,1
2013KCR,3,0,0,4,1
2014KCR,2,0,0,5,1
2015KCR,1,0,0,6,1
2016KCR,3,0,0,7,1
2017KCR,3,0,0,8,1
2002LAA,2,0,0,3,1
2003LAA,3,0,0,4,1
2004LAA,1,0,0,5,1
2005LAA,1,0,0,6,1
2006LAA,2,0,0,7,1
2007LAA,1,0,0,8,1
2008LAA,1,0,0,9,1
2009LAA,1,0,0,10,1
2010LAA,3,0,0,11,1
2011LAA,2,0,0,12,1
2012LAA,3,0,0,13,1
2013LAA,3,0,0,14,1
2014LAA,1,0,0,15,1
2015LAA,3,0,0,16,1
2016LAA,4,0,0,17,1
2017LAA,2,0,0,18,1
2002MIN,1,0,1,1,0
2003MIN,1,0,0,2,0
2004MIN,1,0,0,3,1
2005MIN,3,0,0,4,1
2006MIN,1,0,0,5,1
2007MIN,3,0,0,6,1
2008MIN,2,0,0,7,1
2009MIN,1,0,0,8,1
2010MIN,1,0,0,9,1
2011MIN,5,0,0,10,1
2012MIN,5,0,0,11,1
2013MIN,4,0,0,12,1
2014MIN,5,0,0,13,1
2015MIN,2,0,1,1,0
2016MIN,5,0,0,2,0
2017MIN,2,0,0,3,1
2002NYY,1,0,0,7,1
2003NYY,1,0,0,8,1
2004NYY,1,0,0,9,1
2005NYY,1,0,0,10,1
2006NYY,1,0,0,11,1
2007NYY,2,0,0,12,1
2008NYY,3,0,1,1,0
2009NYY,1,0,0,2,0
2010NYY,2,0,0,3,1
2011NYY,1,0,0,4,1
2012NYY,1,0,0,5,1
2013NYY,3,0,0,6,1
2014NYY,2,0,0,7,1
2015NYY,2,0,0,8,1
2016NYY,4,0,0,9,1
2017NYY,2,0,0,10,1
2002OAK,1,0,0,7,1
2003OAK,1,0,1,1,0
2004OAK,2,0,0,2,0
2005OAK,2,0,0,3,1
2006OAK,1,0,0,4,1
2007OAK,3,0,1,1,0
2008OAK,3,0,0,2,0
2009OAK,4,0,0,3,1
2010OAK,2,0,0,4,1
2011OAK,4,1,1,1,0
2012OAK,1,0,0,2,0
2013OAK,1,0,0,3,1
2014OAK,2,0,0,4,1
2015OAK,5,0,0,5,1
2016OAK,5,0,0,6,1
2017OAK,5,0,0,7,1
2002SEA,3,0,0,10,1
2003SEA,2,0,1,1,0
2004SEA,4,0,0,2,0
2005SEA,4,0,1,1,0
2006SEA,4,0,0,2,0
2007SEA,2,1,1,1,0
2008SEA,4,1,1,1,0
2009SEA,3,0,1,1,0
2010SEA,4,1,1,1,0
2011SEA,5,0,1,1,0
2012SEA,4,0,0,2,0
2013SEA,4,0,0,3,1
2014SEA,3,0,1,1,0
2015SEA,4,0,0,2,0
2016SEA,2,0,1,1,0
2017SEA,4,0,0,2,0
2002TBD,5,0,0,2,0
2003TBD,5,0,1,1,0
2004TBD,4,0,0,2,0
2005TBD,5,0,0,3,1
2006TBD,5,0,1,1,0
2007TBD,5,0,0,2,0
2008TBD,1,0,0,3,1
2009TBD,3,0,0,4,1
2010TBD,1,0,0,5,1
2011TBD,2,0,0,6,1
2012TBD,3,0,0,7,1
2013TBD,2,0,0,8,1
2014TBD,4,0,0,9,1
2015TBD,4,0,1,1,0
2016TBD,5,0,0,2,0
2017TBD,3,0,0,3,1
2002TEX,4,0,0,2,0
2003TEX,4,0,1,1,0
2004TEX,3,0,0,2,0
2005TEX,3,0,0,3,1
2006TEX,3,0,0,4,1
2007TEX,4,0,1,1,0
2008TEX,2,0,0,2,0
2009TEX,2,0,0,3,1
2010TEX,1,0,0,4,1
2011TEX,1,0,0,5,1
2012TEX,2,0,0,6,1
2013TEX,2,0,0,7,1
2014TEX,5,1,1,1,0
2015TEX,1,0,1,1,0
2016TEX,1,0,0,2,0
2017TEX,3,0,0,3,1
2002TOR,3,1,1,1,0
2003TOR,3,0,0,2,0
2004TOR,5,1,1,1,0
2005TOR,3,0,0,2,0
2006TOR,2,0,0,3,1
2007TOR,3,0,0,4,1
2008TOR,4,1,1,1,0
2009TOR,4,0,0,2,0
2010TOR,4,0,0,3,1
2011TOR,4,0,1,1,0
2012TOR,4,0,0,2,0
2013TOR,5,0,1,1,0
2014TOR,3,0,0,2,0
2015TOR,1,0,0,3,1
2016TOR,2,0,0,4,1
2017TOR,4,0,0,5,1
